path,name,size_kb,n_features,geom_type,crs,minx,miny,maxx,maxy,year_start,year_end,category,error,primary_year
DSAS_cpHat/reprojected_shorelines/NOAA_1965_Project.shp,NOAA_1965_Project,3.1,2,LineString,EPSG:32119,916779.4671782714,169194.73860320076,926164.4547887957,171943.38288536668,1965.0,1965.0,shoreline,,1965.0
DSAS_cpHat/reprojected_shorelines/NOAA_1974_Project.shp,NOAA_1974_Project,18.2,4,LineString,EPSG:32119,881836.9675890768,149846.39486192912,927388.4477244496,181256.5123334136,1974.0,1974.0,shoreline,,1974.0
DSAS_cpHat/reprojected_shorelines/Shoreline_Oceanfront_1998_Pr.shp,Shoreline_Oceanfront_1998_Pr,75.9,2,MultiLineString,EPSG:32119,881851.1200340344,150115.65846127272,930358.7513435716,229986.47548899055,1998.0,1998.0,shoreline,,1998.0
DSAS_cpHat/reprojected_shorelines/Shoreline_Oceanfront_2004_Pr.shp,Shoreline_Oceanfront_2004_Pr,263.2,43,LineString,EPSG:32119,882298.7711638083,150102.20834791474,930349.7424550233,316741.2694314867,2004.0,2004.0,shoreline,,2004.0
DSAS_cpHat/reprojected_shorelines/append.shp,append,1083.5,5472,LineString,EPSG:32119,881576.1583466686,149846.39486192912,930401.4986082488,316741.2694314867,,,shoreline_appended,,
DSAS_cpHat/reprojected_shorelines/baseline1rev.shp,baseline1rev,0.6,1,LineString,EPSG:32119,883024.3500533402,148848.55607823282,931470.6996697991,210295.79326390848,,,baseline,,
DSAS_cpHat/reprojected_shorelines/baseline_tailored1852_1974.shp,baseline_tailored1852_1974,1.2,1,LineString,EPSG:32119,883024.3501000031,148857.14820000157,931078.744657289,210336.42746756005,1852.0,1974.0,baseline,,1974.0
DSAS_cpHat/reprojected_shorelines/baseline_tailored1974_2004.shp,baseline_tailored1974_2004,1.1,1,LineString,EPSG:32119,883024.3501000032,148857.14820000157,931463.4392213612,210304.38540000096,1974.0,2004.0,baseline,,2004.0
DSAS_cpHat/reprojected_shorelines/nc1925_1946rev.shp,nc1925_1946rev,59.6,17,LineString,EPSG:32119,881674.2244606809,150377.21781229787,930391.6831715603,230690.69354245812,1925.0,1946.0,shoreline,,1946.0
DSAS_cpHat/reprojected_shorelines/nc1970_1988rev.shp,nc1970_1988rev,42.2,111,LineString,EPSG:32119,881576.1583466686,150428.18242868222,930346.9657672322,210992.84431342408,1970.0,1988.0,shoreline,,1988.0
DSAS_cpHat/reprojected_shorelines/nc1997_Project.shp,nc1997_Project,446.3,5178,LineString,EPSG:32119,882006.1350914,150278.9671772644,930353.7474048238,229991.94334040768,1997.0,1997.0,shoreline,,1997.0
DSAS_cpHat/reprojected_shorelines/ncshrln_Project.shp,ncshrln_Project,49.4,163,LineString,EPSG:32119,871584.5240441975,150982.93776157126,930377.2193701544,229634.158002289,,,shoreline_composite,,
DSAS_cpLO/Reprojected_shorelines/App3_old.shp,App3_old,361.5,1167,LineString,EPSG:32119,781702.6809677916,95115.4132143911,880509.5539128899,150608.24231314845,,,other,,
DSAS_cpLO/Reprojected_shorelines/Base.shp,Base,1.4,1,LineString,EPSG:32119,785215.5646146322,94189.1226575632,881371.7261162619,148304.5604861543,,,other,,
DSAS_cpLO/Reprojected_shorelines/NOAA1926_Project.shp,NOAA1926_Project,6.8,9,LineString,EPSG:32119,781702.6809677916,100193.83280857094,821097.8066404733,107470.97790705226,1926.0,1926.0,shoreline,,1926.0
DSAS_cpLO/Reprojected_shorelines/NOAA_1866_Project.shp,NOAA_1866_Project,45.4,21,LineString,EPSG:32119,839615.6730636357,104634.80010483973,879549.7999976282,149145.5760288369,1866.0,1866.0,shoreline,,1866.0
